City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,kurmuk,10.55,34.2833,301.8,48,94,2.27,SD,1683497355
148,saudarkrokur,65.7461,-19.6394,281.4,87,99,0.99,IS,1683497355
149,castillos,-34.1667,-53.8333,290.09,75,100,3.09,UY,1683497355
150,port douglas,-16.4833,145.4667,297.99,78,93,5.28,AU,1683497356
151,harstad,68.799,16.5293,277.68,99,100,9.83,NO,1683497302
152,kisangani,0.5167,25.2,295.52,93,79,0.55,CD,1683497356
153,hithadhoo,-0.6,73.0833,301.36,73,15,6.91,MV,1683497356
154,bria,6.5423,21.9863,294.02,96,97,1.52,CF,1683497357
155,kapa'a,22.0752,-159.319,300.14,67,75,8.75,US,1683497301
156,yuksekova,37.5736,44.2872,286.01,41,40,1.54,TR,1683497357
157,newman,37.3138,-121.0208,297.17,54,100,1.79,US,1683497357
158,shizunai-furukawacho,42.3339,142.3669,278.76,89,100,3.33,JP,1683497100
159,horta,38.5333,-28.6333,290.94,97,100,9.39,PT,1683497358
160,punta arenas,-53.15,-70.9167,283.21,71,75,9.77,CL,1683497308
161,murun-kuren,49.6342,100.1625,279.55,69,92,1.66,MN,1683497358
162,ono,34.85,134.9333,285.88,84,100,5.28,JP,1683497359
163,kandyagash,49.4744,57.4233,286.16,69,81,6.19,KZ,1683497359
164,bubaque,11.2833,-15.8333,299.28,74,17,3.76,GW,1683497359
165,akwanga,8.9167,8.3833,298.87,63,52,0.88,NG,1683497360
166,nikolayevsk-on-amure,53.1406,140.73,282.66,55,3,0.8,RU,1683497360
167,copiapo,-27.3667,-70.3333,286.98,33,0,2.01,CL,1683497360
168,chuchar-kana mandi,31.75,73.8,296.09,45,31,7.62,PK,1683497361
169,kruisfontein,-34.0033,24.7314,288.09,84,97,2.82,ZA,1683497361
170,sirte,31.2089,16.5887,292.51,62,2,6.39,LY,1683497361
171,sturgis,41.7992,-85.4192,299.96,27,0,6.69,US,1683497362
